bolge_id,bolge_adi,sehir,ulke,tr_vize,us_vize,fiyat_seviye,en_iyi_mevsim,l1_deniz,l1_doga,l1_tarih,l1_eglence,l1_sakin,l1_sehir_hayati,l1_macera,l1_luks,l2_kultur,l2_su_spor,l2_hava_spor,l2_doga_spor,l2_yemek,l2_fotografik,kis_spor
17,Orta Dogu Tarihi,Luxor,Misir,kapida,kapida,dusuk,dort_mevsim,0.080,0.080,0.980,0.080,0.080,0.435,0.080,0.206,0.780,0.080,0.080,0.080,0.080,0.820,0.080
18,Guney Asya Adalari,Maldivler,Maldivler,kapida,kapida,luks,yaz,0.980,0.452,0.080,0.080,0.820,0.133,0.080,0.900,0.415,0.880,0.080,0.080,0.080,0.080,0.080
18,Guney Asya Adalari,Colombo,Sri Lanka,evize,evize,dusuk,dort_mevsim,0.402,0.452,0.080,0.080,0.390,0.515,0.080,0.206,0.415,0.080,0.080,0.080,0.080,0.080,0.080
18,Guney Asya Adalari,Kathmandu,Nepal,kapida,kapida,dusuk,dort_mevsim,0.402,0.452,0.080,0.080,0.390,0.249,0.080,0.206,0.415,0.080,0.080,0.080,0.080,0.080,0.080
18,Guney Asya Adalari,Pokhara,Nepal,kapida,kapida,dusuk,kis,0.402,0.452,0.080,0.080,0.390,0.515,0.080,0.206,0.415,0.080,0.080,0.080,0.080,0.080,0.080
18,Guney Asya Adalari,Galle,Sri Lanka,evize,evize,dusuk,dort_mevsim,0.402,0.452,0.080,0.080,0.390,0.249,0.080,0.206,0.415,0.080,0.080,0.080,0.080,0.080,0.080
19,Guney Avrupa,Roma,Italya,vizeli,vizesiz,dusuk,dort_mevsim,0.080,0.112,0.698,0.080,0.080,0.300,0.080,0.260,0.514,0.080,0.080,0.080,0.464,0.080,0.080
19,Guney Avrupa,Floransa,Italya,vizeli,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.538,0.080,0.080,0.349,0.080,0.260,0.514,0.080,0.080,0.080,0.464,0.133,0.080
19,Guney Avrupa,Barselona,Ispanya,vizeli,vizesiz,dusuk,yaz,0.080,0.080,0.538,0.080,0.080,0.515,0.080,0.260,0.514,0.080,0.080,0.080,0.464,0.080,0.080
19,Guney Avrupa,Atina,Yunanistan,vizeli,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.495,0.080,0.080,0.349,0.080,0.260,0.514,0.080,0.080,0.080,0.464,0.080,0.080
19,Guney Avrupa,Santorini,Yunanistan,vizeli,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.495,0.080,0.080,0.080,0.080,0.260,0.514,0.080,0.080,0.080,0.464,0.080,0.080
20,Bati Avrupa,Paris,Fransa,vizeli,vizesiz,luks,dort_mevsim,0.080,0.080,0.820,0.080,0.080,0.900,0.080,0.820,0.950,0.080,0.080,0.080,0.080,0.080,0.080
20,Bati Avrupa,Amsterdam,Hollanda,vizeli,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.476,0.080,0.080,0.547,0.080,0.290,0.539,0.080,0.080,0.080,0.080,0.080,0.080
20,Bati Avrupa,Londra,Ingiltere,vizeli,evize,dusuk,dort_mevsim,0.080,0.080,0.433,0.080,0.080,0.547,0.080,0.290,0.539,0.080,0.080,0.080,0.080,0.080,0.080
20,Bati Avrupa,Bruksel,Belcika,vizeli,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.433,0.080,0.080,0.628,0.080,0.290,0.539,0.080,0.080,0.080,0.080,0.080,0.080
20,Bati Avrupa,Dublin,Irlanda,vizeli,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.433,0.080,0.080,0.547,0.080,0.290,0.539,0.080,0.080,0.080,0.080,0.080,0.080
21,Iskandinavya,Oslo,Norvec,vizeli,vizesiz,dusuk,dort_mevsim,0.080,0.477,0.080,0.080,0.415,0.410,0.080,0.284,0.080,0.080,0.080,0.080,0.080,0.080,0.080
21,Iskandinavya,Stockholm,Isvec,vizeli,vizesiz,dusuk,yaz,0.080,0.477,0.080,0.080,0.415,0.474,0.080,0.284,0.080,0.080,0.080,0.080,0.080,0.080,0.080
21,Iskandinavya,Kopenhag,Danimarka,vizeli,vizesiz,dusuk,dort_mevsim,0.080,0.477,0.080,0.080,0.415,0.410,0.080,0.284,0.080,0.080,0.080,0.080,0.080,0.080,0.080
21,Iskandinavya,Helsinki,Finlandiya,vizeli,vizesiz,dusuk,dort_mevsim,0.080,0.477,0.080,0.080,0.415,0.454,0.080,0.284,0.080,0.080,0.080,0.080,0.080,0.080,0.080
21,Iskandinavya,Tromso,Norvec,vizeli,vizesiz,dusuk,kis,0.080,0.860,0.080,0.080,0.700,0.390,0.080,0.284,0.080,0.080,0.080,0.080,0.080,0.860,0.750
22,Korfez,Dubai,BAE,vizeli,vizesiz,luks,dort_mevsim,0.291,0.080,0.080,0.800,0.080,0.920,0.080,0.980,0.080,0.080,0.080,0.080,0.080,0.080,0.080
22,Korfez,Abu Dabi,BAE,vizeli,vizesiz,yuksek,dort_mevsim,0.291,0.080,0.080,0.080,0.080,0.604,0.080,0.673,0.080,0.080,0.080,0.080,0.080,0.080,0.080
22,Korfez,Doha,Katar,kapida,vizesiz,yuksek,dort_mevsim,0.291,0.080,0.080,0.080,0.080,0.522,0.080,0.673,0.080,0.080,0.080,0.080,0.080,0.080,0.080
22,Korfez,Muskat,Umman,kapida,evize,yuksek,dort_mevsim,0.291,0.080,0.080,0.080,0.080,0.522,0.080,0.673,0.080,0.080,0.080,0.080,0.080,0.080,0.080
22,Korfez,Riyad,Suudi Arabistan,kapida,evize,yuksek,dort_mevsim,0.291,0.080,0.080,0.080,0.080,0.566,0.080,0.673,0.080,0.080,0.080,0.080,0.080,0.080,0.080
23,Kuzey Amerika,New York,ABD,vizeli,vizesiz,luks,dort_mevsim,0.080,0.080,0.080,0.900,0.080,0.980,0.080,0.820,0.880,0.080,0.080,0.080,0.080,0.080,0.080
23,Kuzey Amerika,Los Angeles,ABD,vizeli,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.080,0.464,0.080,0.539,0.080,0.290,0.390,0.080,0.080,0.080,0.080,0.080,0.080
23,Kuzey Amerika,Miami,ABD,vizeli,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.080,0.464,0.080,0.539,0.080,0.290,0.390,0.080,0.080,0.080,0.080,0.173,0.080
23,Kuzey Amerika,Toronto,Kanada,vizeli,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.080,0.464,0.080,0.559,0.080,0.290,0.390,0.080,0.080,0.080,0.080,0.080,0.080
23,Kuzey Amerika,San Francisco,ABD,vizeli,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.080,0.464,0.080,0.539,0.080,0.290,0.390,0.080,0.080,0.080,0.080,0.080,0.080
24,Meksika ve Orta Amerika,Cancun,Meksika,vizesiz,vizesiz,dusuk,dort_mevsim,0.410,0.080,0.390,0.080,0.080,0.080,0.080,0.285,0.464,0.080,0.080,0.080,0.080,0.080,0.080
24,Meksika ve Orta Amerika,Meksiko,Meksika,vizesiz,vizesiz,dusuk,dort_mevsim,0.390,0.080,0.390,0.080,0.080,0.133,0.080,0.206,0.464,0.080,0.080,0.080,0.080,0.080,0.080
24,Meksika ve Orta Amerika,San Jose,Kosta Rika,vizesiz,vizesiz,dusuk,dort_mevsim,0.390,0.080,0.390,0.080,0.080,0.249,0.080,0.206,0.464,0.080,0.080,0.080,0.080,0.080,0.080
24,Meksika ve Orta Amerika,Panama City,Panama,vizesiz,vizesiz,dusuk,dort_mevsim,0.390,0.080,0.390,0.080,0.080,0.133,0.080,0.206,0.464,0.080,0.080,0.080,0.080,0.080,0.080
24,Meksika ve Orta Amerika,Cartagena,Kolombiya,vizesiz,vizesiz,dusuk,dort_mevsim,0.390,0.080,0.390,0.080,0.080,0.080,0.080,0.206,0.464,0.080,0.080,0.080,0.080,0.080,0.080
25,Okyanusya,Sydney,Avustralya,vizeli,evize,dusuk,dort_mevsim,0.452,0.564,0.080,0.080,0.080,0.133,0.433,0.272,0.080,0.080,0.080,0.080,0.080,0.080,0.080
25,Okyanusya,Melbourne,Avustralya,vizeli,evize,dusuk,dort_mevsim,0.452,0.514,0.080,0.080,0.080,0.133,0.433,0.272,0.080,0.080,0.080,0.080,0.080,0.080,0.080
25,Okyanusya,Queenstown,Yeni Zelanda,vizeli,evize,orta,dort_mevsim,0.472,0.920,0.080,0.080,0.080,0.080,0.950,0.351,0.080,0.080,0.080,0.900,0.080,0.080,0.080
25,Okyanusya,Suva,Fiji,vizeli,kapida,dusuk,dort_mevsim,0.452,0.514,0.080,0.080,0.080,0.133,0.433,0.272,0.080,0.080,0.080,0.080,0.080,0.080,0.080
